IPFROM,IPTO,REGI,ASSIGX,CTRY,CNTRY,PAIS
3274825728,3274827775,RIPE,1043625600,DE,DEU,GERMANY
3274827776,3274829823,RIPE,1044489600,RU,RUS,RUSSIAN
3274829824,3274831871,RIPE,1045008000,SE,SWE,SWEDEN
3274831872,3274833919,RIPE,1148342400,RO,ROM,ROMANIA
3274833920,3274842111,RIPE,839289600,BY,BLR,BELARUS
3274842112,3274850303,RIPE,867283200,DK,DNK,DENMARK
3274850304,3274866687,RIPE,855705600,GB,GBR,UNITED
3274866688,3274874879,RIPE,846806400,DE,DEU,GERMANY
3274874880,3274883071,RIPE,870220800,DE,DEU,GERMANY
3274883072,3274891263,RIPE,861148800,EE,EST,ESTONIA
3274891264,3274899455,RIPE,880416000,CH,CHE,SWITZERLAND
3274899456,3274964991,RIPE,850176000,EU,EU,EUROPEAN
3274964992,3275030527,RIPE,833932800,DE,DEU,GERMANY
3275030528,3275096063,RIPE,850953600,ES,ESP,SPAIN
3275096064,3275104255,RIPE,839289600,RU,RUS,RUSSIAN
3275104256,3275112447,RIPE,867369600,IT,ITA,ITALY
3275112448,3275120639,RIPE,855705600,DK,DNK,DENMARK
3275120640,3275128831,RIPE,885254400,SE,SWE,SWEDEN
