IPFROM,IPTO,REGI,ASSIGX,CTRY,CNTRY,PAIS
3276931072,3276939263,RIPE,839894400,KZ,KAZ,KAZAKHSTAN
3276939264,3276947455,RIPE,868320000,DE,DEU,GERMANY
3276947456,3276955647,RIPE,856137600,DE,DEU,GERMANY
3276955648,3276963839,RIPE,873158400,GB,GBR,UNITED
3276963840,3276964351,RIPE,1205884800,IL,ISR,ISRAEL
3276964352,3276964863,RIPE,1205884800,RO,ROM,ROMANIA
3276964864,3276965375,RIPE,1205884800,RO,ROM,ROMANIA
3276965376,3276965887,RIPE,1205971200,RU,RUS,RUSSIAN
3276965888,3276966399,RIPE,1205971200,UA,UKR,UKRAINE
3276966400,3276966911,RIPE,1205971200,BH,BHR,BAHRAIN
3276966912,3276967423,RIPE,1205971200,CZ,CZE,CZECH
3276967424,3276967935,RIPE,1205971200,RU,RUS,RUSSIAN
3276967936,3276968447,RIPE,1206403200,RU,RUS,RUSSIAN
3276968448,3276968959,RIPE,1206403200,RU,RUS,RUSSIAN
3276968960,3276969471,RIPE,1206489600,RO,ROM,ROMANIA
3276969472,3276969983,RIPE,1206489600,UA,UKR,UKRAINE
3276969984,3276970495,RIPE,1206662400,DE,DEU,GERMANY
3276970496,3276971007,RIPE,1206662400,RU,RUS,RUSSIAN
3276971008,3276971519,RIPE,1206662400,RU,RUS,RUSSIAN
3276971520,3276972031,RIPE,1207094400,DE,DEU,GERMANY
3276972032,3276980223,RIPE,877392000,PL,POL,POLAND
3276980224,3276988415,RIPE,861667200,DK,DNK,DENMARK
3276988416,3276996607,RIPE,881193600,AT,AUT,AUSTRIA
3276996608,3277004799,RIPE,855014400,FR,FRA,FRANCE
3277004800,3277012991,RIPE,855619200,FR,FRA,FRANCE
3277012992,3277029375,RIPE,859420800,FR,FRA,FRANCE
3277029376,3277062143,RIPE,859420800,FR,FRA,FRANCE
3277062144,3277070335,RIPE,834451200,SE,SWE,SWEDEN
3277070336,3277078527,RIPE,838080000,SE,SWE,SWEDEN
3277078528,3277094911,RIPE,838080000,SE,SWE,SWEDEN
3277094912,3277127679,RIPE,838080000,SE,SWE,SWEDEN
3277127680,3277160447,RIPE,855187200,DK,DNK,DENMARK
3277160448,3277168639,RIPE,922752000,NL,NLD,NETHERLANDS
3277168640,3277176831,RIPE,954374400,NL,NLD,NETHERLANDS
3277176832,3277177087,RIPE,1053993600,SI,SVN,SLOVENIA
3277177088,3277177343,RIPE,1053993600,GB,GBR,UNITED
3277177344,3277177599,RIPE,1054080000,RO,ROM,ROMANIA
3277177600,3277177855,RIPE,1054080000,PL,POL,POLAND
3277177856,3277178111,RIPE,1055289600,PL,POL,POLAND
3277178112,3277178367,RIPE,1054598400,UA,UKR,UKRAINE
3277178368,3277178623,RIPE,1054771200,UA,UKR,UKRAINE
3277178624,3277178879,RIPE,1054771200,PL,POL,POLAND
3277178880,3277179135,RIPE,1054771200,ES,ESP,SPAIN
3277179136,3277179391,RIPE,1054857600,RO,ROM,ROMANIA
3277179392,3277179647,RIPE,1054857600,DE,DEU,GERMANY
3277179648,3277179903,RIPE,1054857600,BE,BEL,BELGIUM
3277179904,3277180159,RIPE,1055289600,BE,BEL,BELGIUM
3277180160,3277180415,RIPE,1055289600,EU,EU,EUROPEAN
3277180416,3277180671,RIPE,1055721600,GB,GBR,UNITED
3277180672,3277180927,RIPE,1055721600,DE,DEU,GERMANY
3277180928,3277181183,RIPE,1055808000,GB,GBR,UNITED
3277181184,3277181439,RIPE,1055808000,PL,POL,POLAND
3277181440,3277181695,RIPE,1055894400,DE,DEU,GERMANY
3277181696,3277181951,RIPE,1055894400,RO,ROM,ROMANIA
3277181952,3277182207,RIPE,1055894400,IT,ITA,ITALY
3277182208,3277182463,RIPE,1055894400,RU,RUS,RUSSIAN
3277182464,3277182719,RIPE,1055980800,UA,UKR,UKRAINE
3277182720,3277182975,RIPE,1055980800,BG,BGR,BULGARIA
3277182976,3277183231,RIPE,1055980800,UA,UKR,UKRAINE
3277183232,3277183487,RIPE,1056067200,DE,DEU,GERMANY
3277183488,3277183743,RIPE,1056067200,DK,DNK,DENMARK
3277183744,3277183999,RIPE,1056326400,CY,CYP,CYPRUS
3277184000,3277184255,RIPE,1056326400,DE,DEU,GERMANY
3277184256,3277184511,RIPE,1056326400,PT,PRT,PORTUGAL
3277184512,3277184767,RIPE,1056326400,DE,DEU,GERMANY
3277184768,3277185023,RIPE,1056326400,UA,UKR,UKRAINE
3277185024,3277185279,RIPE,1056326400,SA,SAU,SAUDI
3277185280,3277185535,RIPE,1056326400,NL,NLD,NETHERLANDS
3277185536,3277185791,RIPE,1056326400,DE,DEU,GERMANY
3277185792,3277186047,RIPE,1056499200,PL,POL,POLAND
3277186048,3277186303,RIPE,1056499200,IT,ITA,ITALY
3277186304,3277186559,RIPE,1180656000,EU,EU,EUROPEAN
3277186560,3277186815,RIPE,1146009600,PL,POL,POLAND
3277186816,3277187071,RIPE,1056672000,RU,RUS,RUSSIAN
3277187072,3277187327,RIPE,1056672000,GB,GBR,UNITED
3277187328,3277187583,RIPE,1056672000,UA,UKR,UKRAINE
3277187584,3277188351,RIPE,1056672000,RU,RUS,RUSSIAN
3277188352,3277188607,RIPE,1056931200,GB,GBR,UNITED
3277188608,3277188863,RIPE,1057017600,RU,RUS,RUSSIAN
3277188864,3277189119,RIPE,1057017600,RO,ROM,ROMANIA
3277189120,3277189375,RIPE,1057017600,DE,DEU,GERMANY
3277189376,3277189631,RIPE,1057104000,PL,POL,POLAND
3277189632,3277189887,RIPE,1057104000,TR,TUR,TURKEY
3277189888,3277190143,RIPE,1057104000,PL,POL,POLAND
3277190144,3277190399,RIPE,1057190400,SE,SWE,SWEDEN
3277190400,3277190655,RIPE,1057276800,GB,GBR,UNITED
3277190656,3277190911,RIPE,1057276800,NL,NLD,NETHERLANDS
3277190912,3277191167,RIPE,1057536000,GB,GBR,UNITED
3277191168,3277191423,RIPE,1057536000,DK,DNK,DENMARK
3277191424,3277191679,RIPE,1057622400,PL,POL,POLAND
3277191680,3277191935,RIPE,1057708800,UA,UKR,UKRAINE
3277191936,3277192191,RIPE,1057795200,DK,DNK,DENMARK
3277192192,3277192447,RIPE,1146009600,PL,POL,POLAND
3277192448,3277192703,RIPE,1058140800,DK,DNK,DENMARK
3277192704,3277192959,RIPE,1058140800,DE,DEU,GERMANY
3277192960,3277193215,RIPE,1058227200,TR,TUR,TURKEY
3277193216,3277258751,RIPE,839980800,NL,NLD,NETHERLANDS
3277258752,3277324287,RIPE,867283200,TR,TUR,TURKEY
3277324288,3277324799,RIPE,1232582400,RU,RUS,RUSSIAN
3277324800,3277325311,RIPE,1232582400,RU,RUS,RUSSIAN
3277325312,3277325823,RIPE,1232582400,CZ,CZE,CZECH
3277325824,3277326335,RIPE,1232668800,IT,ITA,ITALY
3277326336,3277326847,RIPE,1232668800,GB,GBR,UNITED
3277326848,3277327359,RIPE,1232668800,AT,AUT,AUSTRIA
3277327360,3277327871,RIPE,1232668800,CS,CS,Serbia
3277327872,3277328383,RIPE,1232668800,UA,UKR,UKRAINE
3277328384,3277328895,RIPE,1232928000,RU,RUS,RUSSIAN
3277328896,3277329407,RIPE,1232928000,NL,NLD,NETHERLANDS
3277329408,3277329919,RIPE,1233100800,GB,GBR,UNITED
3277329920,3277330431,RIPE,1233100800,CZ,CZE,CZECH
3277330432,3277330943,RIPE,1233187200,RO,ROM,ROMANIA
3277330944,3277331455,RIPE,1233273600,UA,UKR,UKRAINE
3277331456,3277331967,RIPE,1233705600,PL,POL,POLAND
3277331968,3277332479,RIPE,1233705600,PL,POL,POLAND
3277332480,3277332991,RIPE,1233705600,LV,LVA,LATVIA
3277332992,3277333503,RIPE,1233705600,AT,AUT,AUSTRIA
3277333504,3277334015,RIPE,1233792000,EE,EST,ESTONIA
3277334016,3277334527,RIPE,1233792000,RO,ROM,ROMANIA
3277334528,3277335039,RIPE,1233878400,RU,RUS,RUSSIAN
3277335040,3277335551,RIPE,1233878400,UA,UKR,UKRAINE
3277335552,3277336063,RIPE,1234310400,DE,DEU,GERMANY
3277336064,3277336575,RIPE,1234310400,HR,HRV,CROATIA
3277336576,3277337087,RIPE,1234310400,AT,AUT,AUSTRIA
3277337088,3277337599,RIPE,1234396800,PL,POL,POLAND
3277337600,3277338111,RIPE,1234396800,UA,UKR,UKRAINE
3277338112,3277338623,RIPE,1234483200,NO,NOR,NORWAY
3277338624,3277339135,RIPE,1234483200,RU,RUS,RUSSIAN
3277339136,3277339647,RIPE,1234828800,RU,RUS,RUSSIAN
3277339648,3277340159,RIPE,1234828800,RO,ROM,ROMANIA
3277340160,3277340671,RIPE,1234828800,RU,RUS,RUSSIAN
3277389824,3277455359,RIPE,856483200,EU,EU,EUROPEAN
3277455360,3277463551,RIPE,840067200,DE,DEU,GERMANY
3277463552,3277471743,RIPE,868406400,EU,EU,EUROPEAN
3277471744,3277479935,RIPE,912470400,EU,EU,EUROPEAN
3277479936,3277480447,RIPE,1137974400,GB,GBR,UNITED
3277480448,3277480959,RIPE,1138060800,GB,GBR,UNITED
3277480960,3277481471,RIPE,1138147200,DK,DNK,DENMARK
3277481472,3277481983,RIPE,1138233600,PL,POL,POLAND
3277481984,3277482495,RIPE,1138233600,SE,SWE,SWEDEN
3277482496,3277483007,RIPE,1138233600,PL,POL,POLAND
3277483008,3277483519,RIPE,1138320000,IT,ITA,ITALY
3277483520,3277484031,RIPE,1138320000,RO,ROM,ROMANIA
3277484032,3277484543,RIPE,1138320000,CH,CHE,SWITZERLAND
3277484544,3277485055,RIPE,1138665600,RO,ROM,ROMANIA
3277485056,3277485567,RIPE,1138665600,CH,CHE,SWITZERLAND
3277485568,3277486079,RIPE,1138752000,GB,GBR,UNITED
3277486080,3277486591,RIPE,1138752000,GB,GBR,UNITED
3277486592,3277487103,RIPE,1138752000,UA,UKR,UKRAINE
3277487104,3277487615,RIPE,1138752000,RO,ROM,ROMANIA
3277487616,3277488127,RIPE,1139184000,PL,POL,POLAND
3277488128,3277496319,RIPE,848361600,RU,RUS,RUSSIAN
3277496320,3277504511,RIPE,862876800,RU,RUS,RUSSIAN
